\FIFO_E/FIFO_MEM_1_reg[0] :D FIFO_E/n140 [('FIFO_E/U298/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[0] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[0] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[0] :Q n696 [('FIFO_E/U298/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[0] :QN FIFO_E/n300 [('U578/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[1] :D FIFO_E/n139 [('FIFO_E/U299/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[1] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[1] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[1] :Q n697 [('FIFO_E/U299/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[1] :QN FIFO_E/n299 [('U557/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[2] :D FIFO_E/n138 [('FIFO_E/U300/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[2] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[2] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[2] :Q n698 [('FIFO_E/U300/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[2] :QN FIFO_E/n298 [('U558/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[3] :D FIFO_E/n137 [('FIFO_E/U301/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[3] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[3] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[3] :Q n699 [('FIFO_E/U301/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[3] :QN FIFO_E/n297 [('U559/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[4] :D FIFO_E/n136 [('FIFO_E/U302/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[4] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[4] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[4] :Q n700 [('FIFO_E/U302/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[4] :QN FIFO_E/n296 [('U560/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[5] :D FIFO_E/n135 [('FIFO_E/U303/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[5] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[5] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[5] :Q n701 [('FIFO_E/U303/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[5] :QN FIFO_E/n295 [('U561/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[6] :D FIFO_E/n134 [('FIFO_E/U304/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[6] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[6] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[6] :Q n702 [('FIFO_E/U304/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[6] :QN FIFO_E/n294 [('U562/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[7] :D FIFO_E/n133 [('FIFO_E/U305/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[7] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[7] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[7] :Q n703 [('FIFO_E/U305/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[7] :QN FIFO_E/n293 [('U563/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[8] :D FIFO_E/n132 [('FIFO_E/U306/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[8] :CP clk [('clk', 'Input Port')]
